nome_pasta,nome_almah,cnpj,ativo
,CONDOMINIO ALAMEDA EUROPA,23.062.695/0001-31,1
,CONDOMINIO COMERCIAL BARAO DE TEFE,78.970.878/0001-47,1
,CONDOMINIO COMERCIAL EMPRESARIAL CENTER,04.553.576/0001-37,1
,CONDOMINIO EDIFICIO ANDARAI,80.507.858/0001-86,1
,CONDOMINIO EDIFICIO CARAVELAS,85.412.237/0001-32,1
,CONDOMINIO EDIFÍCIO COMERCIAL LONDRES,78.316.759/0001-75,1
,CONDOMINIO EDIFICIO GENOVA,80.927.668/0001-18,1
,CONDOMINIO EDIFICIO GUSTAVO I,78.970.399/0001-20,1
,CONDOMINIO EDIFICIO MON VILLAGE,81.884.033/0001-43,1
,CONDOMINIO EDIFICIO RESIDENCIAL NACOES UNIDAS,81.886.087/0001-48,1
,CONDOMINIO EDIFICIO VANIA CRISTINA,80.064.223/0001-51,1
,CONDOMINIO HORIZONTAL RESIDENCIAL AMETISTA,07.485.187/0001-00,1
,CONDOMINIO HORIZONTAL RESIDENCIAL ATHENAS,11.288.146/0001-09,1
,CONDOMINIO RESIDENCIAL ARTUR THOMAS,81.883.902/0001-15,1
,CONDOMINIO RESIDENCIAL CLEMENTE RESSETTI,81.883.795/0001-25,1
,CONDOMINIO RESIDENCIAL DO EDIFICIO EVIDENCE,10.653.192/0001-99,1
,CONDOMINIO RESIDENCIAL GRALHA AZUL II,04.368.815/0001-89,1
,CONDOMINIO RESIDENCIAL GRALHA AZUL III,05.863.438/0001-17,1
,CONDOMÍNIO RESIDENCIAL PINHEIROS I,11.635.416/0001-00,1
,CONDOMINIO RESIDENCIAL RENAISSANCE,05.355.089/0001-22,1
,CONDOMINIO RESIDENCIAL SAINT GERMAIN,00.249.637/0001-16,1
,CONDOMINIO RESIDENCIAL SAN MARINO,86.962.685/0001-72,1
,CONDOMINIO RESIDENCIAL VILA FLORENCA,21.848.781/0001-49,1
,CONDOMINIO RESIDENCIAL VISTA BELA II,14.590.262/0001-68,1
,CONDOMINIO RESIDENCIAL VISTA BELA VII,15.382.952/0001-94,1
,CONDOMINIO TESTE - RAFAEL,,1
,EDIFÍCIO VERANO RESIDENCIAL,21.136.012/0001-18,1
