codigo_fornecedor,classificacao,conta_codigo_reduzido,conta_descricao
2196,4.01.02.02.0078,40102020078,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
2196,4.02.03.05.0005,40203050005,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
2196,4.01.01.01.0004,40101010004,INSS REF. EMPREGADOS/SÍNDICO
2196,4.01.02.02.0071,40102020071,MANUTENÇÃO DO PORTÃO DE SAÍDA DE VEÍCULOS (DESUSO)
2196,4.01.02.02.0017,40102020017,MANUTENÇÃO DO SISTEMA DE SEGURANÇA
1144,4.01.02.02.0028,40102020028,HIGIENIZAÇÃO DE AR CONDICIONADO (S)
1144,4.02.03.01.0059,40203010059,MANUTENÇÕES ELÉTRICAS NO SALÃO DE FESTAS
1144,4.01.02.02.0008,40102020008,MANUTENÇÃO ELÉTRICA
1144,4.01.02.02.0101,40102020101,MANUTENÇÃO NO SISTEMA DE AQUECIMENTO DA PISCINA
1144,4.02.03.01.0008,40203010008,HIGIENIZAÇÃO DE APARELHOS DE AR-CONDICIONADO
2030,4.01.02.01.0009,40102010009,SERVIÇOS CARTORÁRIOS E REGISTROS
1101,4.02.03.06.0007,40203060007,REPARO DA PRUMADA HIDRÁULICA
1478,4.02.03.01.0032,40203010032,MATERIAIS PARA MANUTENÇÕES DIVERSAS
1478,4.01.02.02.0010,40102020010,MATERIAIS ELÉTRICOS/LÂMPADAS
1478,4.01.02.02.0036,40102020036,MATERIAIS MANUTENÇÕES DIVERSAS
0811,4.01.02.02.0007,40102020007,MANUTENÇÃO JARDIM
0753,4.01.02.02.0008,40102020008,MANUTENÇÃO ELÉTRICA
0753,4.01.02.02.0057,40102020057,MANUTENÇÃO DO PORTÃO SOCIAL
0753,4.02.03.08.0001,40203080001,AQUISIÇÃO DE TAGS E CONTROLES PARA REPASSE
0753,4.01.02.02.0092,40102020092,MANUTENÇÃO DA ILUMINAÇÃO DO CONDOMÍNIO
1902,4.01.02.02.0017,40102020017,MANUTENÇÃO DO SISTEMA DE SEGURANÇA
1902,4.01.02.02.0078,40102020078,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
1902,4.01.02.02.0067,40102020067,MANUTENÇÃO DA CENTRAL DE INTERFONES
2447,4.02.03.10.0011,40203100011,LAUDOS TECNICOS
2447,4.02.03.06.0096,40203060096,MEDIÇÃO E LAUDO ELÉTRICO DO PRÉDIO
2364,4.01.02.02.0047,40102020047,RESTAURAÇÃO DE PAPEL DE PAREDE DO HALL
3126,4.01.02.02.0008,40102020008,MANUTENÇÃO ELÉTRICA
2958,4.02.03.06.0114,40203060114,MANUTENÇÃO DO SISTEMA DE SEGURANÇA
2958,4.01.02.02.0017,40102020017,MANUTENÇÃO DO SISTEMA DE SEGURANÇA
1113,4.01.04.01.0004,40104010004,TRATAMENTO E LIMPEZA DA PISCINA
3175,4.02.03.06.0117,40203060117,PINTURA DO HALL DE ENTRADA - MÃO DE OBRA
1899,4.02.03.01.0052,40203010052,REFORMA DO SALÃO DE FESTAS - OUTROS
2407,4.01.02.02.0120,40102020120,MANUTENÇÕES DIVERSAS
0752,4.01.02.02.0007,40102020007,MANUTENÇÃO JARDIM
0752,4.01.04.01.0005,40104010005,MANUTENÇÃO DO JARDIM
2059,4.01.02.02.0084,40102020084,MANUTENÇÃO DA BOIA/BOMBA DA CAIXA DE ÁGUA
2059,4.01.02.02.0009,40102020009,MANUTENÇÃO HIDRÁULICA
2059,4.01.02.02.0122,40102020122,LIMPEZA ANUAL DA FOSSA
2401,4.01.02.02.0078,40102020078,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
1279,4.01.02.02.0089,40102020089,MANUTENÇÃO DO MOTOR RESERVA DO PORTÃO DE VEÍCULOS
1279,4.01.02.02.0092,40102020092,MANUTENÇÃO DA ILUMINAÇÃO DO CONDOMÍNIO
1279,4.01.02.02.0008,40102020008,MANUTENÇÃO ELÉTRICA
1279,4.02.03.06.0113,40203060113,MANUTENÇÃO DO MOTOR RESERVA DO PORTÃO DE VEÍCULOS
1279,4.01.02.02.0078,40102020078,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
1279,4.01.02.02.0080,40102020080,MANUTENÇÃO SISTEMA DE CÂMERAS DE SEGURANÇA (DESUSO)
1279,4.01.02.02.0049,40102020049,MANUTENÇÃO DA CERCA ELÉTRICA/CONCERTINA
1279,4.01.04.01.0004,40104010004,TRATAMENTO E LIMPEZA DA PISCINA
1279,4.01.02.02.0009,40102020009,MANUTENÇÃO HIDRÁULICA
1279,4.01.02.02.0067,40102020067,MANUTENÇÃO DA CENTRAL DE INTERFONES
1151,4.01.02.02.0067,40102020067,MANUTENÇÃO DA CENTRAL DE INTERFONES
1591,4.01.02.02.0128,40102020128,REPARO DE OMBRELONE
1738,4.01.02.02.0080,40102020080,MANUTENÇÃO SISTEMA DE CÂMERAS DE SEGURANÇA (DESUSO)
1738,4.01.02.02.0071,40102020071,MANUTENÇÃO DO PORTÃO DE SAÍDA DE VEÍCULOS (DESUSO)
1738,4.01.02.02.0078,40102020078,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
1738,4.01.02.02.0017,40102020017,MANUTENÇÃO DO SISTEMA DE SEGURANÇA
0853,4.01.02.02.0049,40102020049,MANUTENÇÃO DA CERCA ELÉTRICA/CONCERTINA
0853,4.01.02.02.0017,40102020017,MANUTENÇÃO DO SISTEMA DE SEGURANÇA
0853,4.01.02.02.0078,40102020078,MANUTENÇÃO DO PORTÃO DE VEÍCULOS
0853,4.01.02.02.0008,40102020008,MANUTENÇÃO ELÉTRICA
3220,4.02.01.02.0062,40201020062,INSTALAÇÃO DE AR CONDICIONADO NA GUARITA
2206,4.02.03.05.0004,40203050004,REPAROS NA BOMBA DA CAIXA DÁGUA
1686,4.01.02.02.0041,40102020041,REPAROS NOS APARELHOS DA ACADEMIA
1686,4.02.03.01.0013,40203010013,MANUTENÇÃO DOS EQUIPAMENTOS DA ACADEMIA
1787,4.02.03.06.0030,40203060030,REFORMA DA GARAGEM - OUTROS
2426,4.01.02.02.0007,40102020007,MANUTENÇÃO JARDIM
2426,4.01.02.02.0083,40102020083,APLICAÇÃO DE VENENO NO JARDIM
2426,4.01.04.01.0005,40104010005,MANUTENÇÃO DO JARDIM
2417,4.01.02.02.0154,40102020154,INSTALAÇÃO DE SISTEMA DE ELIMINAÇÃO DE AR EM REDE HIDRÁULICA
1583,4.02.03.06.0048,40203060048,PINTURAS DIVERSAS
1583,4.01.02.02.0081,40102020081,PINTURA DE AREAS COMUNS
1583,4.01.02.02.0043,40102020043,RESSARCIMENTO DE DANOS
1261,4.02.01.02.0010,40201020010,CUSTOS COM ASSEMBLEIA GERAL
2413,4.01.02.02.0084,40102020084,MANUTENÇÃO DA BOIA/BOMBA DA CAIXA DE ÁGUA
2413,4.01.02.02.0092,40102020092,MANUTENÇÃO DA ILUMINAÇÃO DO CONDOMÍNIO
2413,4.02.03.06.0088,40203060088,REPAROS DO MOTOR/FILTRO DA PISCINA
